,filename,bounding_boxes
248,..\MarioNet64_Color\frame_2635.jpg,"[(351, 157, 100, 223)]"
249,..\MarioNet64_Color\frame_2635.jpg,[0]
250,..\MarioNet64_Color\frame_2636.jpg,"[(354, 174, 105, 207)]"
251,..\MarioNet64_Color\frame_2636.jpg,[0]
252,..\MarioNet64_Color\frame_2637.jpg,"[(354, 173, 105, 208)]"
253,..\MarioNet64_Color\frame_2637.jpg,[0]
254,..\MarioNet64_Color\frame_2638.jpg,"[(357, 198, 101, 183)]"
255,..\MarioNet64_Color\frame_2638.jpg,[0]
256,..\MarioNet64_Color\frame_2639.jpg,"[(357, 198, 101, 183)]"
257,..\MarioNet64_Color\frame_2639.jpg,[0]
258,..\MarioNet64_Color\frame_2640.jpg,"[(320, 160, 148, 221)]"
259,..\MarioNet64_Color\frame_2640.jpg,[0]
260,..\MarioNet64_Color\frame_2641.jpg,"[(319, 160, 149, 221)]"
261,..\MarioNet64_Color\frame_2641.jpg,[0]
262,..\MarioNet64_Color\frame_2642.jpg,"[(331, 155, 153, 213)]"
263,..\MarioNet64_Color\frame_2642.jpg,[0]
264,..\MarioNet64_Color\frame_2643.jpg,"[(331, 155, 153, 213)]"
265,..\MarioNet64_Color\frame_2643.jpg,[0]
266,..\MarioNet64_Color\frame_2644.jpg,"[(341, 161, 148, 204)]"
267,..\MarioNet64_Color\frame_2644.jpg,[0]
268,..\MarioNet64_Color\frame_2645.jpg,"[(341, 161, 148, 204)]"
269,..\MarioNet64_Color\frame_2645.jpg,[0]
270,..\MarioNet64_Color\frame_2646.jpg,"[(339, 150, 151, 207)]"
271,..\MarioNet64_Color\frame_2646.jpg,[0]
272,..\MarioNet64_Color\frame_2647.jpg,"[(339, 150, 151, 207)]"
273,..\MarioNet64_Color\frame_2647.jpg,[0]
274,..\MarioNet64_Color\frame_2648.jpg,"[(329, 133, 164, 222)]"
275,..\MarioNet64_Color\frame_2648.jpg,[0]
276,..\MarioNet64_Color\frame_2649.jpg,"[(329, 133, 164, 222)]"
277,..\MarioNet64_Color\frame_2649.jpg,[0]
278,..\MarioNet64_Color\frame_2650.jpg,"[(320, 124, 175, 227)]"
279,..\MarioNet64_Color\frame_2650.jpg,[0]
280,..\MarioNet64_Color\frame_2651.jpg,"[(320, 124, 175, 227)]"
281,..\MarioNet64_Color\frame_2651.jpg,[0]
282,..\MarioNet64_Color\frame_2652.jpg,"[(316, 118, 180, 233)]"
283,..\MarioNet64_Color\frame_2652.jpg,[0]
284,..\MarioNet64_Color\frame_2653.jpg,"[(316, 118, 180, 233)]"
285,..\MarioNet64_Color\frame_2653.jpg,[0]
286,..\MarioNet64_Color\frame_2654.jpg,"[(314, 113, 184, 238)]"
287,..\MarioNet64_Color\frame_2654.jpg,[0]
288,..\MarioNet64_Color\frame_2655.jpg,"[(314, 113, 184, 238)]"
289,..\MarioNet64_Color\frame_2655.jpg,[0]
290,..\MarioNet64_Color\frame_2656.jpg,"[(312, 108, 188, 243)]"
291,..\MarioNet64_Color\frame_2656.jpg,[0]
292,..\MarioNet64_Color\frame_2657.jpg,"[(313, 108, 187, 243)]"
293,..\MarioNet64_Color\frame_2657.jpg,[0]
294,..\MarioNet64_Color\frame_2658.jpg,"[(310, 104, 193, 249)]"
295,..\MarioNet64_Color\frame_2658.jpg,[0]
296,..\MarioNet64_Color\frame_2659.jpg,"[(310, 104, 193, 249)]"
297,..\MarioNet64_Color\frame_2659.jpg,[0]
298,..\MarioNet64_Color\frame_2660.jpg,"[(309, 100, 195, 254)]"
299,..\MarioNet64_Color\frame_2660.jpg,[0]
300,..\MarioNet64_Color\frame_2661.jpg,"[(309, 100, 195, 254)]"
301,..\MarioNet64_Color\frame_2661.jpg,[0]
302,..\MarioNet64_Color\frame_2662.jpg,"[(308, 96, 198, 259)]"
303,..\MarioNet64_Color\frame_2662.jpg,[0]
304,..\MarioNet64_Color\frame_2663.jpg,"[(308, 96, 198, 259)]"
305,..\MarioNet64_Color\frame_2663.jpg,[0]
306,..\MarioNet64_Color\frame_2664.jpg,"[(308, 93, 199, 265)]"
307,..\MarioNet64_Color\frame_2664.jpg,[0]
308,..\MarioNet64_Color\frame_2665.jpg,"[(308, 93, 199, 265)]"
309,..\MarioNet64_Color\frame_2665.jpg,[0]
310,..\MarioNet64_Color\frame_2666.jpg,"[(309, 91, 202, 269)]"
311,..\MarioNet64_Color\frame_2666.jpg,[0]
312,..\MarioNet64_Color\frame_2667.jpg,"[(309, 91, 202, 269)]"
313,..\MarioNet64_Color\frame_2667.jpg,[0]
314,..\MarioNet64_Color\frame_2668.jpg,"[(311, 89, 202, 272)]"
315,..\MarioNet64_Color\frame_2668.jpg,[0]
316,..\MarioNet64_Color\frame_2669.jpg,"[(311, 89, 202, 272)]"
317,..\MarioNet64_Color\frame_2669.jpg,[0]
318,..\MarioNet64_Color\frame_2670.jpg,"[(311, 86, 203, 277)]"
319,..\MarioNet64_Color\frame_2670.jpg,[0]
320,..\MarioNet64_Color\frame_2671.jpg,"[(311, 86, 203, 277)]"
321,..\MarioNet64_Color\frame_2671.jpg,[0]
322,..\MarioNet64_Color\frame_2672.jpg,"[(311, 85, 206, 279)]"
323,..\MarioNet64_Color\frame_2672.jpg,[0]
324,..\MarioNet64_Color\frame_2673.jpg,"[(311, 85, 206, 279)]"
325,..\MarioNet64_Color\frame_2673.jpg,[0]
326,..\MarioNet64_Color\frame_2674.jpg,"[(312, 86, 207, 280)]"
327,..\MarioNet64_Color\frame_2674.jpg,[0]
328,..\MarioNet64_Color\frame_2675.jpg,"[(312, 86, 207, 280)]"
329,..\MarioNet64_Color\frame_2675.jpg,[0]
330,..\MarioNet64_Color\frame_2676.jpg,"[(312, 84, 209, 283)]"
331,..\MarioNet64_Color\frame_2676.jpg,[0]
332,..\MarioNet64_Color\frame_2677.jpg,"[(312, 84, 209, 283)]"
333,..\MarioNet64_Color\frame_2677.jpg,[0]
334,..\MarioNet64_Color\frame_2678.jpg,"[(312, 83, 211, 286)]"
335,..\MarioNet64_Color\frame_2678.jpg,[0]
336,..\MarioNet64_Color\frame_2679.jpg,"[(312, 83, 211, 286)]"
337,..\MarioNet64_Color\frame_2679.jpg,[0]
338,..\MarioNet64_Color\frame_2680.jpg,"[(312, 82, 212, 288)]"
339,..\MarioNet64_Color\frame_2680.jpg,[0]
340,..\MarioNet64_Color\frame_2681.jpg,"[(312, 82, 212, 288)]"
341,..\MarioNet64_Color\frame_2681.jpg,[0]
342,..\MarioNet64_Color\frame_2682.jpg,"[(312, 81, 214, 290)]"
343,..\MarioNet64_Color\frame_2682.jpg,[0]
344,..\MarioNet64_Color\frame_2683.jpg,"[(312, 81, 214, 290)]"
345,..\MarioNet64_Color\frame_2683.jpg,[0]
346,..\MarioNet64_Color\frame_2684.jpg,"[(311, 81, 215, 292)]"
347,..\MarioNet64_Color\frame_2684.jpg,[0]
348,..\MarioNet64_Color\frame_2685.jpg,"[(311, 81, 215, 292)]"
349,..\MarioNet64_Color\frame_2685.jpg,[0]
350,..\MarioNet64_Color\frame_2686.jpg,"[(312, 80, 216, 296)]"
351,..\MarioNet64_Color\frame_2686.jpg,[0]
352,..\MarioNet64_Color\frame_2687.jpg,"[(312, 80, 216, 296)]"
353,..\MarioNet64_Color\frame_2687.jpg,[0]
354,..\MarioNet64_Color\frame_2688.jpg,"[(312, 79, 218, 298)]"
355,..\MarioNet64_Color\frame_2688.jpg,[0]
356,..\MarioNet64_Color\frame_2689.jpg,"[(312, 79, 218, 298)]"
357,..\MarioNet64_Color\frame_2689.jpg,[0]
358,..\MarioNet64_Color\frame_2690.jpg,"[(313, 77, 218, 301)]"
359,..\MarioNet64_Color\frame_2690.jpg,[0]
360,..\MarioNet64_Color\frame_2691.jpg,"[(312, 77, 219, 301)]"
361,..\MarioNet64_Color\frame_2691.jpg,[0]
362,..\MarioNet64_Color\frame_2692.jpg,"[(312, 76, 220, 304)]"
363,..\MarioNet64_Color\frame_2692.jpg,[0]
364,..\MarioNet64_Color\frame_2693.jpg,"[(312, 76, 220, 304)]"
365,..\MarioNet64_Color\frame_2693.jpg,[0]
366,..\MarioNet64_Color\frame_2694.jpg,"[(311, 74, 223, 307)]"
367,..\MarioNet64_Color\frame_2694.jpg,[0]
368,..\MarioNet64_Color\frame_2695.jpg,"[(311, 74, 223, 307)]"
369,..\MarioNet64_Color\frame_2695.jpg,[0]
370,..\MarioNet64_Color\frame_2696.jpg,"[(311, 72, 225, 309)]"
371,..\MarioNet64_Color\frame_2696.jpg,[0]
372,..\MarioNet64_Color\frame_2697.jpg,"[(311, 73, 225, 308)]"
373,..\MarioNet64_Color\frame_2697.jpg,[0]
374,..\MarioNet64_Color\frame_2698.jpg,"[(312, 71, 227, 310)]"
375,..\MarioNet64_Color\frame_2698.jpg,[0]
376,..\MarioNet64_Color\frame_2699.jpg,"[(312, 71, 227, 310)]"
377,..\MarioNet64_Color\frame_2699.jpg,[0]
378,..\MarioNet64_Color\frame_2700.jpg,"[(311, 70, 229, 311)]"
379,..\MarioNet64_Color\frame_2700.jpg,[0]
380,..\MarioNet64_Color\frame_2701.jpg,"[(311, 70, 229, 311)]"
381,..\MarioNet64_Color\frame_2701.jpg,[0]
382,..\MarioNet64_Color\frame_2702.jpg,"[(311, 68, 231, 313)]"
383,..\MarioNet64_Color\frame_2702.jpg,[0]
384,..\MarioNet64_Color\frame_2703.jpg,"[(311, 68, 231, 313)]"
385,..\MarioNet64_Color\frame_2703.jpg,[0]
386,..\MarioNet64_Color\frame_2704.jpg,"[(311, 66, 233, 315)]"
387,..\MarioNet64_Color\frame_2704.jpg,[0]
388,..\MarioNet64_Color\frame_2705.jpg,"[(311, 66, 233, 315)]"
389,..\MarioNet64_Color\frame_2705.jpg,[0]
390,..\MarioNet64_Color\frame_2706.jpg,"[(311, 63, 236, 318)]"
391,..\MarioNet64_Color\frame_2706.jpg,[0]
392,..\MarioNet64_Color\frame_2707.jpg,"[(311, 63, 236, 318)]"
393,..\MarioNet64_Color\frame_2707.jpg,[0]
394,..\MarioNet64_Color\frame_2708.jpg,"[(311, 63, 236, 318)]"
395,..\MarioNet64_Color\frame_2708.jpg,[0]
396,..\MarioNet64_Color\frame_2709.jpg,"[(308, 61, 241, 320)]"
397,..\MarioNet64_Color\frame_2709.jpg,[0]
398,..\MarioNet64_Color\frame_2710.jpg,"[(308, 59, 242, 322)]"
399,..\MarioNet64_Color\frame_2710.jpg,[0]
400,..\MarioNet64_Color\frame_2711.jpg,"[(308, 59, 242, 322)]"
401,..\MarioNet64_Color\frame_2711.jpg,[0]
402,..\MarioNet64_Color\frame_2712.jpg,"[(307, 56, 246, 325)]"
403,..\MarioNet64_Color\frame_2712.jpg,[0]
