MarioNet64_Color\frame_5110.jpg  1  503 205 19 36
MarioNet64_Color\frame_5111.jpg  1  501 206 21 28
MarioNet64_Color\frame_5192.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5193.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5194.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5195.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5196.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5197.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5198.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5199.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5200.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5201.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5202.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5203.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5204.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5205.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5206.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5207.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5208.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5209.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5210.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5211.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5212.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5213.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5214.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5215.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5216.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5217.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5218.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5219.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5220.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5221.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5222.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5223.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5224.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5225.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5226.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5227.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5228.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5229.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5230.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5231.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5232.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5233.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5234.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5235.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5236.jpg  3  519 239 11 10  518 198 37 29  423 108 12 14
MarioNet64_Color\frame_5237.jpg  3  519 239 11 10  518 198 37 29  423 108 12 13
MarioNet64_Color\frame_5238.jpg  2  543 240 11 10  519 193 38 32
MarioNet64_Color\frame_5239.jpg  2  543 240 11 10  519 193 38 32
MarioNet64_Color\frame_5240.jpg  2  520 194 40 31  422 117 11 14
MarioNet64_Color\frame_5241.jpg  2  520 194 40 31  422 117 11 14
MarioNet64_Color\frame_5242.jpg  2  535 232 11 10  519 198 42 29
MarioNet64_Color\frame_5243.jpg  2  535 232 11 10  519 198 42 29
MarioNet64_Color\frame_5244.jpg  3  533 228 13 14  520 196 40 30  422 126 10 20
MarioNet64_Color\frame_5245.jpg  2  519 196 41 31  422 126 10 20
MarioNet64_Color\frame_5246.jpg  1  526 198 27 24
MarioNet64_Color\frame_5247.jpg  1  526 198 26 27
MarioNet64_Color\frame_5248.jpg  1  512 199 41 28
MarioNet64_Color\frame_5249.jpg  1  512 199 41 27
MarioNet64_Color\frame_5250.jpg  1  509 199 36 35
MarioNet64_Color\frame_5251.jpg  1  509 199 37 35
MarioNet64_Color\frame_5252.jpg  1  511 200 27 34
MarioNet64_Color\frame_5253.jpg  1  511 200 27 34
MarioNet64_Color\frame_5254.jpg  1  501 201 31 41
MarioNet64_Color\frame_5255.jpg  1  503 201 29 41
MarioNet64_Color\frame_5256.jpg  2  495 202 34 48  391 133 15 17
MarioNet64_Color\frame_5257.jpg  2  495 202 34 48  391 133 12 14
MarioNet64_Color\frame_5258.jpg  2  495 234 21 18  491 201 32 35
MarioNet64_Color\frame_5259.jpg  2  495 234 21 18  491 201 32 35
MarioNet64_Color\frame_5260.jpg  2  481 203 35 55  377 133 20 13
MarioNet64_Color\frame_5261.jpg  2  481 203 35 55  377 133 16 13
MarioNet64_Color\frame_5262.jpg  2  478 207 28 43  371 133 15 23
MarioNet64_Color\frame_5263.jpg  2  478 207 28 42  371 133 20 23
MarioNet64_Color\frame_5264.jpg  1  463 204 42 47
MarioNet64_Color\frame_5265.jpg  1  463 204 42 47
MarioNet64_Color\frame_5266.jpg  3  479 256 11 10  461 205 37 45  367 134 10 11
MarioNet64_Color\frame_5267.jpg  3  479 255 11 11  461 205 37 45  367 134 10 12
MarioNet64_Color\frame_5268.jpg  1  454 204 39 44
MarioNet64_Color\frame_5269.jpg  2  452 204 41 47  358 134 10 12
MarioNet64_Color\frame_5270.jpg  1  446 205 37 46
MarioNet64_Color\frame_5271.jpg  1  443 205 40 46
MarioNet64_Color\frame_5272.jpg  2  441 206 36 53  340 143 7 18
MarioNet64_Color\frame_5273.jpg  2  441 206 36 53  340 143 11 18
MarioNet64_Color\frame_5274.jpg  2  423 211 44 54  333 150 16 13
MarioNet64_Color\frame_5275.jpg  2  423 211 44 54  333 149 13 12
MarioNet64_Color\frame_5276.jpg  5  446 262 12 11  414 255 11 14  421 214 36 45  327 150 19 14  333 135 14 14
MarioNet64_Color\frame_5277.jpg  5  446 262 12 11  415 255 10 11  421 214 36 45  327 150 19 14  333 135 14 11
MarioNet64_Color\frame_5278.jpg  4  406 255 12 10  414 212 43 60  327 149 11 12  326 135 12 10
MarioNet64_Color\frame_5279.jpg  4  406 255 12 10  414 212 43 61  327 149 11 12  326 135 12 10
MarioNet64_Color\frame_5280.jpg  1  411 214 40 52
MarioNet64_Color\frame_5281.jpg  1  414 214 37 51
MarioNet64_Color\frame_5282.jpg  2  431 269 11 12  406 215 41 55
MarioNet64_Color\frame_5283.jpg  2  431 269 11 12  406 215 41 55
MarioNet64_Color\frame_5284.jpg  2  406 216 39 70  319 137 10 11
MarioNet64_Color\frame_5285.jpg  2  406 216 39 70  319 137 10 11
MarioNet64_Color\frame_5286.jpg  4  424 277 12 12  391 272 13 11  404 218 39 56  319 138 17 11
MarioNet64_Color\frame_5287.jpg  4  424 277 12 12  392 272 11 10  404 218 39 56  319 138 17 14
MarioNet64_Color\frame_5288.jpg  2  397 278 14 11  405 220 45 55
MarioNet64_Color\frame_5289.jpg  2  397 278 14 11  405 220 45 55
MarioNet64_Color\frame_5290.jpg  3  421 286 17 15  405 223 46 60  317 144 12 17
MarioNet64_Color\frame_5291.jpg  3  421 286 17 15  405 223 46 59  317 144 12 17
MarioNet64_Color\frame_5292.jpg  2  424 293 14 12  407 228 50 62
MarioNet64_Color\frame_5293.jpg  2  423 293 15 12  406 228 51 62
MarioNet64_Color\frame_5294.jpg  3  421 303 13 11  404 236 55 63  317 143 12 11
MarioNet64_Color\frame_5295.jpg  3  421 302 12 12  407 236 52 62  317 143 12 12
MarioNet64_Color\frame_5296.jpg  2  413 310 22 19  405 244 52 63
MarioNet64_Color\frame_5297.jpg  2  413 310 22 19  405 244 52 63
MarioNet64_Color\frame_5298.jpg  1  398 253 53 86
MarioNet64_Color\frame_5299.jpg  1  400 253 51 86
MarioNet64_Color\frame_5300.jpg  2  396 263 53 84  301 151 17 11
MarioNet64_Color\frame_5301.jpg  2  396 263 53 84  302 151 16 11
MarioNet64_Color\frame_5302.jpg  1  382 271 59 90
MarioNet64_Color\frame_5303.jpg  2  382 271 59 90  289 172 12 10
MarioNet64_Color\frame_5304.jpg  1  373 285 61 83
MarioNet64_Color\frame_5305.jpg  1  371 281 63 87
MarioNet64_Color\frame_5306.jpg  3  367 366 18 14  365 292 61 78  269 160 11 10
MarioNet64_Color\frame_5307.jpg  3  367 366 18 14  366 292 60 77  269 160 11 10
MarioNet64_Color\frame_5308.jpg  2  351 300 66 80  256 175 27 18
MarioNet64_Color\frame_5309.jpg  2  351 300 66 80  256 175 27 18
MarioNet64_Color\frame_5310.jpg  2  341 307 69 73  247 174 13 18
MarioNet64_Color\frame_5311.jpg  2  341 307 69 73  247 174 11 18
MarioNet64_Color\frame_5312.jpg  2  325 316 75 64  236 163 23 31
MarioNet64_Color\frame_5313.jpg  2  325 316 75 64  236 163 23 31
MarioNet64_Color\frame_5314.jpg  2  318 320 73 60  228 166 26 14
MarioNet64_Color\frame_5315.jpg  2  318 320 73 60  228 166 26 14
MarioNet64_Color\frame_5316.jpg  2  301 326 78 54  215 163 21 27
MarioNet64_Color\frame_5317.jpg  2  301 326 78 54  214 163 21 27
MarioNet64_Color\frame_5318.jpg  2  287 334 81 46  207 166 19 28
MarioNet64_Color\frame_5319.jpg  2  287 334 81 46  207 166 19 28
MarioNet64_Color\frame_5320.jpg  2  278 343 74 37  198 165 21 44
MarioNet64_Color\frame_5321.jpg  2  278 343 74 37  198 165 21 44
MarioNet64_Color\frame_5322.jpg  2  287 357 43 23  189 167 27 35
MarioNet64_Color\frame_5323.jpg  2  287 357 43 23  189 167 27 35
MarioNet64_Color\frame_5324.jpg  2  294 373 34 7  182 169 21 33
MarioNet64_Color\frame_5325.jpg  1  182 169 21 33
MarioNet64_Color\frame_5326.jpg  2  199 197 10 11  183 171 19 44
MarioNet64_Color\frame_5327.jpg  1  183 171 19 44
MarioNet64_Color\frame_5328.jpg  1  178 175 32 35
MarioNet64_Color\frame_5329.jpg  1  178 175 32 35
MarioNet64_Color\frame_5330.jpg  1  179 182 24 37
MarioNet64_Color\frame_5331.jpg  1  179 182 23 37
MarioNet64_Color\frame_5332.jpg  1  173 182 24 48
MarioNet64_Color\frame_5333.jpg  1  173 182 24 48
MarioNet64_Color\frame_5334.jpg  1  175 191 26 35
MarioNet64_Color\frame_5335.jpg  1  175 191 26 35
MarioNet64_Color\frame_5336.jpg  1  166 191 27 44
MarioNet64_Color\frame_5337.jpg  1  166 191 27 44
MarioNet64_Color\frame_5338.jpg  1  152 198 38 37
MarioNet64_Color\frame_5339.jpg  1  156 198 34 37
MarioNet64_Color\frame_5340.jpg  2  151 247 10 10  142 196 39 47
MarioNet64_Color\frame_5341.jpg  1  142 196 39 47
MarioNet64_Color\frame_5342.jpg  1  133 198 38 47
MarioNet64_Color\frame_5343.jpg  1  133 198 38 47
MarioNet64_Color\frame_5344.jpg  1  126 203 43 48
MarioNet64_Color\frame_5345.jpg  1  127 203 42 47
MarioNet64_Color\frame_5346.jpg  1  117 212 44 46
MarioNet64_Color\frame_5347.jpg  1  117 212 44 46
MarioNet64_Color\frame_5348.jpg  2  111 280 10 10  102 222 44 52
MarioNet64_Color\frame_5349.jpg  2  111 280 10 10  102 222 44 52
MarioNet64_Color\frame_5350.jpg  2  96 294 18 12  94 235 42 56
MarioNet64_Color\frame_5351.jpg  2  96 292 18 14  94 235 46 56
MarioNet64_Color\frame_5352.jpg  2  136 293 12 12  84 250 48 71
MarioNet64_Color\frame_5353.jpg  2  136 293 12 12  85 250 47 71
MarioNet64_Color\frame_5354.jpg  3  78 325 19 13  126 310 12 13  77 268 47 54
MarioNet64_Color\frame_5355.jpg  3  78 325 19 13  126 310 12 13  77 268 47 54
MarioNet64_Color\frame_5356.jpg  3  64 343 16 12  117 323 17 17  62 277 52 64
MarioNet64_Color\frame_5357.jpg  3  64 339 16 16  117 323 11 17  63 277 50 65
MarioNet64_Color\frame_5358.jpg  3  52 356 25 16  109 343 11 10  55 293 53 65
MarioNet64_Color\frame_5359.jpg  3  52 356 25 16  109 343 11 11  55 293 53 65
MarioNet64_Color\frame_5360.jpg  3  37 373 20 7  102 357 11 13  35 308 62 65
MarioNet64_Color\frame_5361.jpg  3  37 373 20 7  102 357 11 13  35 308 62 65
MarioNet64_Color\frame_5362.jpg  2  87 367 18 13  38 309 53 71
MarioNet64_Color\frame_5363.jpg  2  87 367 18 13  38 309 52 71
MarioNet64_Color\frame_5364.jpg  1  29 316 59 64
MarioNet64_Color\frame_5365.jpg  1  29 316 59 64
MarioNet64_Color\frame_5366.jpg  1  19 317 63 63
MarioNet64_Color\frame_5367.jpg  1  19 317 62 63
MarioNet64_Color\frame_5368.jpg  1  7 320 59 60
MarioNet64_Color\frame_5369.jpg  1  7 320 58 60
MarioNet64_Color\frame_5370.jpg  1  1 321 50 59
MarioNet64_Color\frame_5371.jpg  1  1 321 50 59
MarioNet64_Color\frame_5372.jpg  1  1 326 25 54
MarioNet64_Color\frame_5373.jpg  1  1 326 26 54
MarioNet64_Color\frame_5856.jpg  1  22 134 13 12
MarioNet64_Color\frame_5857.jpg  1  23 134 12 12
MarioNet64_Color\frame_5860.jpg  1  5 135 13 10
MarioNet64_Color\frame_5861.jpg  1  5 135 13 10
MarioNet64_Color\frame_6310.jpg  1  142 135 11 10
MarioNet64_Color\frame_6311.jpg  1  142 135 11 10
MarioNet64_Color\frame_6348.jpg  1  126 163 11 13
MarioNet64_Color\frame_6349.jpg  1  126 163 11 13
MarioNet64_Color\frame_6350.jpg  1  126 165 11 13
MarioNet64_Color\frame_6351.jpg  1  126 165 11 13
MarioNet64_Color\frame_6364.jpg  1  110 171 14 14
MarioNet64_Color\frame_6365.jpg  1  110 171 13 15
MarioNet64_Color\frame_6368.jpg  1  103 175 14 13
MarioNet64_Color\frame_6369.jpg  1  103 175 13 11
MarioNet64_Color\frame_6370.jpg  1  100 173 13 15
MarioNet64_Color\frame_6371.jpg  1  100 173 13 15
MarioNet64_Color\frame_6374.jpg  1  94 174 12 15
MarioNet64_Color\frame_6375.jpg  1  94 174 11 13
MarioNet64_Color\frame_6376.jpg  1  87 174 9 15
MarioNet64_Color\frame_6377.jpg  1  87 174 9 15
MarioNet64_Color\frame_6378.jpg  1  85 174 13 12
MarioNet64_Color\frame_6379.jpg  1  85 174 13 12
MarioNet64_Color\frame_6381.jpg  1  80 175 9 12
MarioNet64_Color\frame_6382.jpg  1  74 173 15 12
MarioNet64_Color\frame_6383.jpg  1  74 173 15 12
MarioNet64_Color\frame_6384.jpg  1  71 172 14 13
MarioNet64_Color\frame_6385.jpg  1  71 172 14 13
MarioNet64_Color\frame_6386.jpg  1  69 172 13 15
MarioNet64_Color\frame_6387.jpg  1  69 172 13 15
MarioNet64_Color\frame_6388.jpg  1  63 174 11 11
MarioNet64_Color\frame_6389.jpg  1  63 174 11 11
MarioNet64_Color\frame_6390.jpg  1  61 169 13 17
MarioNet64_Color\frame_6391.jpg  1  61 169 13 17
MarioNet64_Color\frame_6392.jpg  1  64 174 10 12
MarioNet64_Color\frame_6393.jpg  1  64 174 10 12
MarioNet64_Color\frame_6396.jpg  1  53 174 12 19
MarioNet64_Color\frame_6397.jpg  1  53 174 12 19
MarioNet64_Color\frame_6400.jpg  1  54 174 12 13
MarioNet64_Color\frame_6401.jpg  1  54 174 12 13
MarioNet64_Color\frame_6402.jpg  1  55 175 10 19
MarioNet64_Color\frame_6403.jpg  1  55 175 10 19
MarioNet64_Color\frame_6404.jpg  1  54 171 13 15
MarioNet64_Color\frame_6405.jpg  1  54 171 13 15
MarioNet64_Color\frame_6406.jpg  1  55 172 17 16
MarioNet64_Color\frame_6407.jpg  1  55 172 17 16
MarioNet64_Color\frame_6408.jpg  1  60 172 15 22
MarioNet64_Color\frame_6409.jpg  1  60 172 15 22
MarioNet64_Color\frame_6410.jpg  1  61 174 14 21
MarioNet64_Color\frame_6411.jpg  1  61 174 14 21
MarioNet64_Color\frame_6412.jpg  1  61 175 14 18
MarioNet64_Color\frame_6413.jpg  1  63 175 12 18
MarioNet64_Color\frame_6414.jpg  1  63 176 18 21
MarioNet64_Color\frame_6415.jpg  1  63 176 18 21
MarioNet64_Color\frame_6416.jpg  1  63 183 20 10
MarioNet64_Color\frame_6417.jpg  1  63 182 20 11
MarioNet64_Color\frame_6418.jpg  1  71 181 12 15
MarioNet64_Color\frame_6419.jpg  1  71 181 12 16
MarioNet64_Color\frame_6420.jpg  1  70 180 12 20
MarioNet64_Color\frame_6421.jpg  1  70 180 12 20
MarioNet64_Color\frame_6422.jpg  1  69 178 14 19
MarioNet64_Color\frame_6423.jpg  1  69 178 14 17
MarioNet64_Color\frame_6424.jpg  1  70 182 18 21
MarioNet64_Color\frame_6425.jpg  1  69 182 19 21
MarioNet64_Color\frame_6426.jpg  1  70 178 12 18
MarioNet64_Color\frame_6427.jpg  1  69 178 13 19
MarioNet64_Color\frame_6428.jpg  1  69 177 20 19
MarioNet64_Color\frame_6429.jpg  1  69 177 20 24
MarioNet64_Color\frame_6430.jpg  1  70 182 20 13
MarioNet64_Color\frame_6431.jpg  1  70 182 20 13
MarioNet64_Color\frame_6432.jpg  1  70 179 20 16
MarioNet64_Color\frame_6433.jpg  1  70 179 20 16
MarioNet64_Color\frame_6434.jpg  1  72 176 18 16
MarioNet64_Color\frame_6435.jpg  1  78 176 12 17
MarioNet64_Color\frame_6436.jpg  1  79 182 19 14
MarioNet64_Color\frame_6437.jpg  1  79 182 19 14
MarioNet64_Color\frame_6438.jpg  1  94 183 14 18
MarioNet64_Color\frame_6439.jpg  1  94 183 14 18
MarioNet64_Color\frame_6440.jpg  1  103 180 20 15
MarioNet64_Color\frame_6441.jpg  1  101 180 21 14
MarioNet64_Color\frame_6442.jpg  1  115 175 22 19
MarioNet64_Color\frame_6443.jpg  1  115 175 22 19
MarioNet64_Color\frame_6444.jpg  1  133 175 20 29
MarioNet64_Color\frame_6445.jpg  1  133 175 20 19
MarioNet64_Color\frame_6446.jpg  1  149 174 12 21
MarioNet64_Color\frame_6447.jpg  1  149 174 12 21
MarioNet64_Color\frame_6448.jpg  1  165 175 13 19
MarioNet64_Color\frame_6449.jpg  1  165 175 13 18
MarioNet64_Color\frame_6450.jpg  1  181 175 13 18
MarioNet64_Color\frame_6451.jpg  1  181 175 13 18
MarioNet64_Color\frame_6452.jpg  1  198 175 12 20
MarioNet64_Color\frame_6453.jpg  1  198 175 13 20
MarioNet64_Color\frame_6454.jpg  1  213 174 15 20
MarioNet64_Color\frame_6455.jpg  1  213 174 15 20
MarioNet64_Color\frame_6456.jpg  1  229 172 14 24
MarioNet64_Color\frame_6457.jpg  1  229 172 14 24
MarioNet64_Color\frame_6458.jpg  1  240 175 17 18
MarioNet64_Color\frame_6459.jpg  1  240 175 17 18
MarioNet64_Color\frame_6460.jpg  1  252 175 13 19
MarioNet64_Color\frame_6461.jpg  1  252 175 13 19
MarioNet64_Color\frame_6462.jpg  1  268 171 15 22
MarioNet64_Color\frame_6463.jpg  1  268 171 15 22
MarioNet64_Color\frame_6464.jpg  1  280 175 18 21
MarioNet64_Color\frame_6465.jpg  1  285 175 16 21
MarioNet64_Color\frame_6466.jpg  1  295 173 20 22
MarioNet64_Color\frame_6467.jpg  1  295 173 20 22
MarioNet64_Color\frame_6468.jpg  1  309 174 14 21
MarioNet64_Color\frame_6469.jpg  1  309 174 14 21
MarioNet64_Color\frame_6470.jpg  1  326 174 13 20
MarioNet64_Color\frame_6471.jpg  1  326 174 12 20
MarioNet64_Color\frame_6472.jpg  1  336 182 18 15
MarioNet64_Color\frame_6473.jpg  1  336 182 18 15
MarioNet64_Color\frame_6474.jpg  1  351 172 10 23
MarioNet64_Color\frame_6475.jpg  1  351 172 10 23
MarioNet64_Color\frame_6476.jpg  1  359 174 19 19
MarioNet64_Color\frame_6477.jpg  1  359 174 19 21
MarioNet64_Color\frame_6478.jpg  1  375 174 12 19
MarioNet64_Color\frame_6479.jpg  1  375 174 11 19
MarioNet64_Color\frame_6480.jpg  1  382 175 12 18
MarioNet64_Color\frame_6481.jpg  1  382 175 12 18
MarioNet64_Color\frame_6486.jpg  1  412 182 15 13
MarioNet64_Color\frame_6487.jpg  1  412 182 15 13
MarioNet64_Color\frame_6488.jpg  1  422 182 19 22
MarioNet64_Color\frame_6489.jpg  1  422 181 12 23
MarioNet64_Color\frame_6490.jpg  2  432 183 7 17  438 182 15 22
MarioNet64_Color\frame_6491.jpg  2  432 183 7 17  438 182 15 22
MarioNet64_Color\frame_6492.jpg  1  447 178 18 25
MarioNet64_Color\frame_6493.jpg  1  447 178 18 25
MarioNet64_Color\frame_6494.jpg  1  463 183 23 22
MarioNet64_Color\frame_6495.jpg  1  463 183 23 22
MarioNet64_Color\frame_6496.jpg  1  478 181 20 23
MarioNet64_Color\frame_6497.jpg  1  479 181 18 23
MarioNet64_Color\frame_6498.jpg  1  491 180 23 28
MarioNet64_Color\frame_6499.jpg  1  491 180 23 28
MarioNet64_Color\frame_6500.jpg  1  506 181 25 29
MarioNet64_Color\frame_6501.jpg  1  506 181 23 29
MarioNet64_Color\frame_6502.jpg  1  520 181 18 28
MarioNet64_Color\frame_6503.jpg  1  520 181 18 29
